"dx2" "cod_label" "sex2" "cases" "specific" "irr" "left" "right" "diagnosed" "diag_left" "diag_right" "undiagnosed" "undiag_left" "undiag_right"
"Organic Disorders" "All Causes" "Females" 52145 47 10.7691039765025 9.81184329032445 11.8197566986303 1816.51350100567 1656.75890766423 1991.6725868026 168.678239616701 166.358923431057 171.029890873155
"Organic Disorders" "All Causes" "Females" 52145 48 9.68784944245228 8.93773160316054 10.5009224920599 1773.65653424523 1638.0117723651 1920.53412224781 183.080522130437 180.74353113034 185.447730128622
"Organic Disorders" "All Causes" "Females" 52145 49 8.83447229380527 8.21466244876414 9.50104781502677 1766.68389501343 1644.49277850525 1897.95420551301 199.976165667782 197.507518631359 202.475668330525
"Organic Disorders" "All Causes" "Females" 52145 50 8.16535373119656 7.62486624475706 8.74415359107587 1794.43222740146 1677.51618099908 1919.49684611641 219.761725759126 217.078494487156 222.47812351346
"Organic Disorders" "All Causes" "Females" 52145 51 7.63963264932674 7.14990996159808 8.16289818055472 1854.67957702999 1737.75896413002 1979.46689066527 242.77077997899 239.825527550681 245.752202501263
"Organic Disorders" "All Causes" "Females" 52145 52 7.22661560408893 6.77366785747561 7.70985147014934 1946.61055243423 1826.66651065819 2074.43045610057 269.366832149313 266.140971773689 272.631792762281
"Organic Disorders" "All Causes" "Females" 52145 53 6.90278525098125 6.48093527242529 7.35209382878674 2070.39088330735 1946.01023241251 2202.72141342654 299.935577890536 296.432555218828 303.47999671669
"Organic Disorders" "All Causes" "Females" 52145 54 6.64970874704729 6.2575065621824 7.06649301621114 2226.81144647584 2097.6918530663 2363.87876079485 334.873530733898 331.113030333257 338.676739702212
"Organic Disorders" "All Causes" "Females" 52145 55 6.45255421926717 6.09040308772664 6.83623979445403 2416.94687120594 2283.57825860547 2558.10465711806 374.572113472367 370.584403410026 378.602733682558
"Organic Disorders" "All Causes" "Females" 52145 56 6.29902601616934 5.96784238463881 6.64858858446202 2641.78858164532 2505.23875390253 2785.78115528509 419.396359828322 415.215384715603 423.619434905388
"Organic Disorders" "All Causes" "Females" 52145 57 6.17859553716263 5.87900611863889 6.49345179125009 2901.82384313109 2763.54240555461 3047.02457238907 469.657517744503 465.311569656786 474.04405640854
"Organic Disorders" "All Causes" "Females" 52145 58 6.08194767195473 5.8137447752762 6.36252345333446 3196.54481506322 3058.11230374724 3341.24379349545 525.579138045404 521.078842779078 530.118300093149
"Organic Disorders" "All Causes" "Females" 52145 59 6.00059152633269 5.76233291366337 6.24870155983479 3523.88763992718 3386.66346062635 3666.67200423125 587.256710353165 582.582166788721 591.968761686953
"Organic Disorders" "All Causes" "Females" 52145 60 5.92660312407231 5.71537650567222 6.14563617207095 3879.62317242978 3744.30407998722 4019.83269481294 654.611603174804 649.703958376936 659.55631866795
"Organic Disorders" "All Causes" "Females" 52145 61 5.85248011433508 5.6639792570057 6.04725440092711 4256.74867754366 4122.96882582331 4394.86934518631 727.340989526332 722.106501434348 732.613421973519
"Organic Disorders" "All Causes" "Females" 52145 62 5.77109590401212 5.60022074020178 5.9471848483075 4644.96218973288 4511.23016832542 4782.65859621546 804.866574215776 799.19866228457 810.574682943068
"Organic Disorders" "All Causes" "Females" 52145 63 5.6769851284146 5.51901176696513 5.83948023831857 5032.69604496702 4896.97421131034 5172.17947003429 886.508583539744 880.320401650541 892.740265040022
"Organic Disorders" "All Causes" "Females" 52145 64 5.56999788326197 5.42154765376515 5.72251290606968 5415.61530399162 5276.118140109 5558.80068300031 972.283188879788 965.519859394595 979.09389452745
